route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
230,106_1,23__0__407__TZM__106__1__106__1,,0,,[@364.0.17529510@]2,,2,407
210,35_3,21__0__435__NBM__35__3__35__3,,0,,[@360.0.6960780@]2,,2,435
270,101_2,27__0__409__TZM__101__2__101__2,,0,,[@360.0.75333692@]2,,2,409
181,4_2,18e__1__418__NBM__4__2__4__2,,1,,[@360.0.75331905@]1,,2,418
140,45,14__1__450__NBM__45__45,,1,,[@360.0.6959154@]5,,2,450
2610,720,261__0__401__UZM__720__720,,0,,[@6.0.93603882@]1,,2,401
6,_Total Day Count,JVL__0__9330__RAIL____Total_Day_Count,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9330
20,5_2,2__0__415__NBM__5__2__5__2,,0,,[@360.0.75333305@]5,,2,415
270,118_1,27__0__415__TZM__118__1__118__1,,0,,[@360.0.75333692@]2,,2,415
2600,721,260__1__410__UZM__721__721,C=Continues on to Coastlands and Rimu Road Civic Centre after arriving at Paraparaumu Station,1,,[@6.0.7172229@]1,,2,410
30,6_2,3__1__466__NBM__6__2__6__2,,1,,[@360.0.6959122@]4,,2,466
120,24_2,12__1__452__NBM__24__2__24__2,,1,,[@360.0.75333330@]1,,2,452
1100,506_1,110__0__423__TZM__506__1__506__1,,0,,[@356.0.42935074@]4,,2,423
10,216,1__1__454__TZM__216__216,,1,,[@364.0.17528045@]1,,2,454
210,10_2,21__1__400__NBM__10__2__10__2,,1,,[@360.0.6960780@]1,,2,400
30,41_2,3__0__449__NBM__41__2__41__2,,0,,[@360.0.6959122@]3,,2,449
2610,718,261__1__412__UZM__718__718,C=Continues on to Coastlands and Rimu Road Civic Centre after arriving at Paraparaumu Station,1,,[@6.0.93603882@]2,,2,412
20,24_2,2__0__581__NBM__24__2__24__2,,0,,[@360.0.75333305@]9,,2,581
2500,714,250__0__415__UZM__714__714,,0,,[@6.0.7172165@]1,,2,415
1100,501_1,110__0__451__TZM__501__1__501__1,,0,,[@356.0.42935074@]4,,2,451
1100,510,110__1__432__TZM__510__510,,1,,[@356.0.42935074@]81537888,,2,432
