from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
8580,UPPE,2,240,112__1__420__TZM__502__1__502__1,HVL__1__3855__RAIL____Total_Day_Count
UPPE,8579,2,240,HVL__0__3848__RAIL____Total_Day_Count,110__0__457__TZM__503__1__503__1
8251,TAIT1,2,0,120__1__468__TZM__408__1__408__1,HVL__1__3849__RAIL____Total_Day_Count
WATE2,9140,2,0,HVL__0__3862__RAIL____Total_Day_Count,160__0__451__TZM__602__1__602__1
WATE2,9140,2,0,HVL__0__3868__RAIL____Total_Day_Count,160__0__459__TZM__601__1__601__1
4915,4915,2,0,21__1__450__NBM__8__2__8__2,22__1__450__NBM__29__3__29__3
8251,TAIT1,2,0,120__1__400__TZM__401__1__401__1,HVL__1__3809__RAIL____Total_Day_Count
4915,4915,2,0,21__1__414__NBM__31__2__31__2,22__1__414__NBM__202__4__202__4
8251,TAIT1,2,0,120__1__402__TZM__404__1__404__1,HVL__1__3811__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6436__RAIL____Total_Day_Count,210__0__411__TZM__305__1__305__1
WATE2,9140,2,0,HVL__0__3824__RAIL____Total_Day_Count,170__0__417__TZM__603__1__603__1
2002,PORI2,2,0,60__0__425__MNM__2031__2031,KPL__0__6442__RAIL____Total_Day_Count
5915,5915,2,0,21__0__443__NBM__205__4__205__4,22__0__443__NBM__30__2__30__2
PORI2,2003,2,0,KPL__0__6460__RAIL____Total_Day_Count,220__1__448__TZM__311__311
TREN,9525,2,240,HVL__0__3826__RAIL____Total_Day_Count,114__1__406__TZM__507__507
PORI2,2001,2,0,KPL__0__6424__RAIL____Total_Day_Count,226__0__413__TZM__301__1__301__1
5915,5915,2,0,21__0__435__NBM__35__3__35__3,22__0__435__NBM__205__4__205__4
5915,5915,2,0,22__0__447__NBM__29__3__29__3,21__0__447__NBM__8__2__8__2
5915,5915,2,0,21__0__421__NBM__9__2__9__2,22__0__421__NBM__17__2__17__2
2001,PORI1,2,0,226__0__441__TZM__311__311,KPL__1__6447__RAIL____Total_Day_Count
1001,PARA1,2,0,261__1__402__UZM__720__720,KPL__1__6419__RAIL____Total_Day_Count
3000,3000,2,120,1__0__407__TZM__202__1__202__1,60__0__407__MNM__2111__2111
WATE2,9165,2,0,HVL__0__3832__RAIL____Total_Day_Count,130__0__427__TZM__411__411
2002,PORI2,2,0,60__0__447__MNM__2042__2042,KPL__0__6464__RAIL____Total_Day_Count
PETO2,9001,2,0,HVL__0__3814__RAIL____Total_Day_Count,154__0__401__TZM__404__1__404__1
9416,SILV,2,240,115__0__405__TZM__507__507,HVL__1__3821__RAIL____Total_Day_Count
3000,3000,2,120,1__0__427__TZM__201__1__201__1,60__0__417__MNM__2101__2101
3000,3000,2,120,1__0__519__TZM__202__1__202__1,19__0__451__TZM__110__1__110__1
8580,UPPE,2,240,111__0__443__TZM__507__507,HVL__1__3851__RAIL____Total_Day_Count
PARA2,1000,2,0,KPL__0__6440__RAIL____Total_Day_Count,250__0__415__UZM__714__714
WAIK,1501,2,240,KPL__0__6464__RAIL____Total_Day_Count,280__0__427__UZM__715__715
8140,WATE1,2,0,160__1__420__TZM__602__1__602__1,HVL__1__3829__RAIL____Total_Day_Count
4915,4915,2,0,22__1__414__NBM__202__4__202__4,21__1__414__NBM__31__2__31__2
PETO2,9001,2,0,HVL__0__3840__RAIL____Total_Day_Count,154__0__413__TZM__413__413
